date,type,locale_name,description
2012-08-10,Holiday,Ecuador,Primer Grito de Independencia
2012-10-09,Holiday,Ecuador,Independencia de Guayaquil
2012-10-12,Transfer,Ecuador,Traslado Independencia de Guayaquil
2012-11-02,Holiday,Ecuador,Dia de Difuntos
2012-11-03,Holiday,Ecuador,Independencia de Cuenca
2012-12-21,Additional,Ecuador,Navidad-4
2012-12-22,Additional,Ecuador,Navidad-3
2012-12-23,Additional,Ecuador,Navidad-2
2012-12-24,Bridge,Ecuador,Puente Navidad
2012-12-25,Holiday,Ecuador,Navidad
2012-12-26,Additional,Ecuador,Navidad+1
2012-12-31,Bridge,Ecuador,Puente Primer dia del ano
2013-01-01,Holiday,Ecuador,Primer dia del ano
2013-01-05,Work Day,Ecuador,Recupero puente Navidad
2013-01-12,Work Day,Ecuador,Recupero puente primer dia del ano
2013-02-11,Holiday,Ecuador,Carnaval
2013-02-12,Holiday,Ecuador,Carnaval
2013-04-29,Holiday,Ecuador,Viernes Santo
2013-05-01,Holiday,Ecuador,Dia del Trabajo
2013-05-11,Additional,Ecuador,Dia de la Madre-1
2013-05-12,Event,Ecuador,Dia de la Madre
2013-05-24,Holiday,Ecuador,Batalla de Pichincha
2013-08-10,Holiday,Ecuador,Primer Grito de Independencia
2013-10-09,Holiday,Ecuador,Independencia de Guayaquil
2013-10-11,Transfer,Ecuador,Traslado Independencia de Guayaquil
2013-11-02,Holiday,Ecuador,Dia de Difuntos
2013-11-03,Holiday,Ecuador,Independencia de Cuenca
2013-12-21,Additional,Ecuador,Navidad-4
2013-12-22,Additional,Ecuador,Navidad-3
2013-12-23,Additional,Ecuador,Navidad-2
2013-12-24,Additional,Ecuador,Navidad-1
2013-12-25,Holiday,Ecuador,Navidad
2013-12-26,Additional,Ecuador,Navidad+1
2013-12-31,Additional,Ecuador,Primer dia del ano-1
2014-01-01,Holiday,Ecuador,Primer dia del ano
2014-03-03,Holiday,Ecuador,Carnaval
2014-03-04,Holiday,Ecuador,Carnaval
2014-04-18,Holiday,Ecuador,Viernes Santo
2014-05-01,Holiday,Ecuador,Dia del Trabajo
2014-05-10,Additional,Ecuador,Dia de la Madre-1
2014-05-11,Event,Ecuador,Dia de la Madre
2014-05-24,Holiday,Ecuador,Batalla de Pichincha
2014-06-12,Event,Ecuador,Inauguracion Mundial de futbol Brasil
2014-06-15,Event,Ecuador,Mundial de futbol Brasil: Ecuador-Suiza
2014-06-20,Event,Ecuador,Mundial de futbol Brasil: Ecuador-Honduras
2014-06-25,Event,Ecuador,Mundial de futbol Brasil: Ecuador-Francia
2014-06-28,Event,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-06-29,Event,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-06-30,Event,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-07-01,Event,Ecuador,Mundial de futbol Brasil: Octavos de Final
2014-07-04,Event,Ecuador,Mundial de futbol Brasil: Cuartos de Final
2014-07-05,Event,Ecuador,Mundial de futbol Brasil: Cuartos de Final
2014-07-08,Event,Ecuador,Mundial de futbol Brasil: Semifinales
2014-07-09,Event,Ecuador,Mundial de futbol Brasil: Semifinales
2014-07-12,Event,Ecuador,Mundial de futbol Brasil: Tercer y cuarto lugar
