family,total_sales,avg_sales
GROCERY I,339752538.068,3769.750549985576
BEVERAGES,214144583.0,2376.057774671016
PRODUCE,120849089.8921,1340.890418881344
CLEANING,96545431.0,1071.2272929010496
DAIRY,63813168.0,708.0439384861195
BREAD/BAKERY,41697531.808479,462.65818752057123
POULTRY,31572151.807807,350.3112510020083
MEATS,30783499.7365119,341.5607009798715
PERSONAL CARE,24333084.0,269.9896145396445
DELI,23865097.889763,264.7970384768324
HOME CARE,15790055.0,175.19977586933848
EGGS,15430784.0,171.21345671615293
FROZEN FOODS,13969568.5359215,155.00042757829593
PREPARED FOODS,8728597.1899045,96.84882486634822
"LIQUOR,WINE,BEER",7665345.0,85.05142800079888
SEAFOOD,1999277.3338041,22.183136207133348
GROCERY II,1939542.0,21.520338193196192
HOME AND KITCHEN I,1835828.0,20.369571488804564
HOME AND KITCHEN II,1495690.0,16.59554401615516
CELEBRATION,750875.0,8.331391607305328
LINGERIE,646727.0,7.175809422364246
LADIESWEAR,642914.0,7.133501986108337
PLAYERS AND ELECTRONICS,553118.0,6.13716352661829
AUTOMOTIVE,548802.0,6.089275014979029
LAWN AND GARDEN,536501.0,5.952788318576215
PET SUPPLIES,349726.0,3.880411867829483
BEAUTY,332412.0,3.6883030424072967
MAGAZINES,260458.0,2.8899318731553603
SCHOOL AND OFFICE SUPPLIES,219147.0,2.4315624791957924
HARDWARE,102299.0,1.1350664625080442
HOME APPLIANCES,41450.0,0.459911679204669
BABY CARE,9908.0,0.10993497991700509
BOOKS,6430.0,0.07134456205756386
