city,avg_daily_sales,total_sales
Ambato,11949.120612219891,39886164.60359
Babahoyo,10500.177339360696,17524795.979393
Cayambe,16779.634009822646,28005209.162394
Cuenca,9701.9009031584,48577417.8221141
Daule,11365.010577898562,18968202.6545127
El Carmen,6527.106862137148,10893741.3529069
Esmeraldas,9673.141113181307,16144472.5178996
Guaranda,7734.854700876573,12909472.495763
Guayaquil,9100.862647386923,121514718.0679102
Ibarra,6791.689292776513,11335329.429644
Latacunga,6280.559311300778,20964506.981122
Libertad,9060.341004525464,15121709.136553
Loja,11189.589295098023,18675424.5335186
Machala,9864.67413797136,32928282.2725484
Manta,4014.7284991617134,13401163.7302018
Playas,4549.072559426363,7592402.1016826
Puyo,2383.683426494907,3978367.63882
Quevedo,8402.556082944278,14023866.102434
Quito,18336.318739573093,550859687.5742549
Riobamba,6747.568736492511,11261692.221206
Salinas,6754.660280681546,11273528.0084575
Santo Domingo,7064.404808341262,35371474.8753647
