date,total_sales,year,month,week,weekday,year_month
2013-01-01,2511.618999,2013,1,1,1,2013-01
2013-01-02,496092.417944,2013,1,1,2,2013-01
2013-01-03,361461.231124,2013,1,1,3,2013-01
2013-01-04,354459.6770927,2013,1,1,4,2013-01
2013-01-05,477350.121229,2013,1,1,5,2013-01
2013-01-06,519695.401088,2013,1,1,6,2013-01
2013-01-07,336122.801066,2013,1,2,0,2013-01
2013-01-08,318347.777981,2013,1,2,1,2013-01
2013-01-09,302530.809018,2013,1,2,2,2013-01
2013-01-10,258982.003049,2013,1,2,3,2013-01
2013-01-11,289737.6850845,2013,1,2,4,2013-01
2013-01-12,403258.2120105,2013,1,2,5,2013-01
2013-01-13,464638.547998,2013,1,2,6,2013-01
2013-01-14,293348.362078,2013,1,3,0,2013-01
2013-01-15,299129.549954,2013,1,3,1,2013-01
2013-01-16,318347.913946,2013,1,3,2,2013-01
2013-01-17,267498.5159755,2013,1,3,3,2013-01
2013-01-18,296130.850028,2013,1,3,4,2013-01
2013-01-19,432459.852021,2013,1,3,5,2013-01
2013-01-20,461092.386047,2013,1,3,6,2013-01
2013-01-21,311211.26595000003,2013,1,4,0,2013-01
2013-01-22,296214.728983,2013,1,4,1,2013-01
2013-01-23,283258.4530325,2013,1,4,2,2013-01
2013-01-24,247245.690995,2013,1,4,3,2013-01
2013-01-25,290022.77193,2013,1,4,4,2013-01
2013-01-26,413799.7679753,2013,1,4,5,2013-01
2013-01-27,430411.991233,2013,1,4,6,2013-01
2013-01-28,285460.169953,2013,1,5,0,2013-01
2013-01-29,264488.81807649997,2013,1,5,1,2013-01
2013-01-30,281061.127052,2013,1,5,2,2013-01
2013-01-31,271254.217996,2013,1,5,3,2013-01
2013-02-01,369402.055266,2013,2,5,4,2013-02
2013-02-02,518887.462705,2013,2,5,5,2013-02
2013-02-03,486336.82018,2013,2,5,6,2013-02
2013-02-04,344308.715017,2013,2,6,0,2013-02
2013-02-05,321245.83913,2013,2,6,1,2013-02
2013-02-06,321538.177149,2013,2,6,2,2013-02
2013-02-07,290807.530973,2013,2,6,3,2013-02
2013-02-08,347441.789912,2013,2,6,4,2013-02
2013-02-09,416176.2790747,2013,2,6,5,2013-02
2013-02-10,300951.328993,2013,2,6,6,2013-02
2013-02-11,278627.588926,2013,2,7,0,2013-02
2013-02-12,308800.7909121,2013,2,7,1,2013-02
2013-02-13,319597.929962,2013,2,7,2,2013-02
2013-02-14,308164.016957,2013,2,7,3,2013-02
2013-02-15,320168.883912,2013,2,7,4,2013-02
2013-02-16,485660.494008,2013,2,7,5,2013-02
2013-02-17,399588.910014,2013,2,7,6,2013-02
2013-02-18,350745.573191,2013,2,8,0,2013-02
2013-02-19,293637.801951,2013,2,8,1,2013-02
2013-02-20,313803.162034,2013,2,8,2,2013-02
2013-02-21,267711.1090155,2013,2,8,3,2013-02
2013-02-22,285679.869131,2013,2,8,4,2013-02
2013-02-23,412897.349113,2013,2,8,5,2013-02
2013-02-24,452726.126103,2013,2,8,6,2013-02
2013-02-25,307110.875933,2013,2,9,0,2013-02
2013-02-26,270425.0070675,2013,2,9,1,2013-02
2013-02-27,288401.998919,2013,2,9,2,2013-02
2013-02-28,278116.291888,2013,2,9,3,2013-02
2013-03-01,378898.165064,2013,3,9,4,2013-03
2013-03-02,547857.205258,2013,3,9,5,2013-03
2013-03-03,559820.580027,2013,3,9,6,2013-03
2013-03-04,383647.679097,2013,3,10,0,2013-03
2013-03-05,332189.993189,2013,3,10,1,2013-03
2013-03-06,335726.580968,2013,3,10,2,2013-03
2013-03-07,293099.52701,2013,3,10,3,2013-03
2013-03-08,316600.679967,2013,3,10,4,2013-03
2013-03-09,453259.496866,2013,3,10,5,2013-03
2013-03-10,461859.756153,2013,3,10,6,2013-03
2013-03-11,318379.133021,2013,3,11,0,2013-03
2013-03-12,271823.37801,2013,3,11,1,2013-03
2013-03-13,287869.663972,2013,3,11,2,2013-03
2013-03-14,247541.420096,2013,3,11,3,2013-03
2013-03-15,315878.090213,2013,3,11,4,2013-03
2013-03-16,482233.433961,2013,3,11,5,2013-03
2013-03-17,513439.584913,2013,3,11,6,2013-03
2013-03-18,330283.80303,2013,3,12,0,2013-03
2013-03-19,294020.245897,2013,3,12,1,2013-03
2013-03-20,321207.006946,2013,3,12,2,2013-03
2013-03-21,269130.127953,2013,3,12,3,2013-03
2013-03-22,304100.453969,2013,3,12,4,2013-03
2013-03-23,453192.003086,2013,3,12,5,2013-03
2013-03-24,449794.636951,2013,3,12,6,2013-03
2013-03-25,317559.6099585,2013,3,13,0,2013-03
2013-03-26,275818.2359,2013,3,13,1,2013-03
2013-03-27,313691.148998,2013,3,13,2,2013-03
2013-03-28,339293.269022,2013,3,13,3,2013-03
2013-03-29,345513.132,2013,3,13,4,2013-03
2013-03-30,452661.356036,2013,3,13,5,2013-03
2013-03-31,462107.639956,2013,3,13,6,2013-03
2013-04-01,428816.447912,2013,4,14,0,2013-04
2013-04-02,377732.827961,2013,4,14,1,2013-04
2013-04-03,373731.0758793,2013,4,14,2,2013-04
2013-04-04,308738.385963,2013,4,14,3,2013-04
2013-04-05,336394.782031,2013,4,14,4,2013-04
2013-04-06,509424.214023,2013,4,14,5,2013-04
2013-04-07,519048.376884,2013,4,14,6,2013-04
2013-04-08,346649.815943,2013,4,15,0,2013-04
2013-04-09,306335.8019617,2013,4,15,1,2013-04
2013-04-10,312846.374941,2013,4,15,2,2013-04
2013-04-11,303223.41301,2013,4,15,3,2013-04
2013-04-12,314394.967035,2013,4,15,4,2013-04
2013-04-13,453442.497048,2013,4,15,5,2013-04
2013-04-14,478417.148813,2013,4,15,6,2013-04
2013-04-15,338712.458055,2013,4,16,0,2013-04
2013-04-16,333431.880049,2013,4,16,1,2013-04
2013-04-17,334990.518942,2013,4,16,2,2013-04
2013-04-18,281924.509951,2013,4,16,3,2013-04
2013-04-19,311588.70494,2013,4,16,4,2013-04
2013-04-20,459884.838043,2013,4,16,5,2013-04
2013-04-21,485721.032087,2013,4,16,6,2013-04
2013-04-22,328886.320986,2013,4,17,0,2013-04
2013-04-23,302097.8329435,2013,4,17,1,2013-04
2013-04-24,310555.184925,2013,4,17,2,2013-04
2013-04-25,268790.618996,2013,4,17,3,2013-04
2013-04-26,304413.556952,2013,4,17,4,2013-04
2013-04-27,446665.337895,2013,4,17,5,2013-04
2013-04-28,477623.4729303,2013,4,17,6,2013-04
2013-04-29,328795.874018,2013,4,18,0,2013-04
2013-04-30,310186.466894,2013,4,18,1,2013-04
2013-05-01,507974.636889,2013,5,18,2,2013-05
2013-05-02,348709.460063,2013,5,18,3,2013-05
2013-05-03,374291.2510323,2013,5,18,4,2013-05
2013-05-04,520339.51596499997,2013,5,18,5,2013-05
2013-05-05,580268.550981,2013,5,18,6,2013-05
2013-05-06,369869.383046,2013,5,19,0,2013-05
2013-05-07,317292.964148,2013,5,19,1,2013-05
2013-05-08,332477.410968,2013,5,19,2,2013-05
2013-05-09,305868.0570225,2013,5,19,3,2013-05
2013-05-10,335937.441949,2013,5,19,4,2013-05
2013-05-11,512090.58108,2013,5,19,5,2013-05
2013-05-12,387860.5050145,2013,5,19,6,2013-05
2013-05-13,350598.06187,2013,5,20,0,2013-05
2013-05-14,308469.313119,2013,5,20,1,2013-05
2013-05-15,329113.560081,2013,5,20,2,2013-05
2013-05-16,307556.946937,2013,5,20,3,2013-05
2013-05-17,330004.241998,2013,5,20,4,2013-05
2013-05-18,480969.558942,2013,5,20,5,2013-05
2013-05-19,518153.554009,2013,5,20,6,2013-05
2013-05-20,341787.214991,2013,5,21,0,2013-05
2013-05-21,307178.399952,2013,5,21,1,2013-05
2013-05-22,301785.4831075,2013,5,21,2,2013-05
2013-05-23,289261.058026,2013,5,21,3,2013-05
2013-05-24,398389.241982,2013,5,21,4,2013-05
2013-05-25,417930.141993,2013,5,21,5,2013-05
2013-05-26,450631.400068,2013,5,21,6,2013-05
2013-05-27,321630.8309235,2013,5,22,0,2013-05
2013-05-28,307329.1680565,2013,5,22,1,2013-05
