store_nbr,type,city,cluster,avg_transactions,avg_sales,basket_size
1,D,Quito,13,1524.724864539434,8389.157558687299,5.502079590747258
2,D,Quito,13,1921.364019253911,12796.580861273937,6.660154313831173
3,D,Quito,8,3202.7862733293196,29944.88640462912,9.349636175847973
4,D,Quito,9,1504.476821192053,11224.591657855002,7.46079401141012
5,D,Santo Domingo,4,1401.3748495788207,9255.099120709108,6.604299430299254
6,D,Quito,13,1830.3895243829018,14944.65313608628,8.164739219169606
7,D,Quito,8,1789.3969879518072,15989.238519433195,8.93554567661082
8,D,Quito,8,2768.4009632751354,18088.785897554822,6.534019507114686
9,B,Quito,6,2098.4689945815776,15653.75288367106,7.459606467424756
10,C,Quito,15,987.2777108433735,5696.905774620731,5.77031742138106
11,B,Cayambe,6,2370.3913305237807,16779.634009822646,7.078845502744429
12,C,Latacunga,15,1212.7189256714553,6318.50847166387,5.2102002681004205
13,C,Latacunga,15,938.8091511137869,6242.610150937688,6.649498615913109
14,C,Riobamba,7,1398.3370301910043,6747.568736492511,4.825423764663397
15,C,Ibarra,15,1318.8025285972305,6791.689292776513,5.1498910151473725
16,C,Santo Domingo,3,874.6750902527076,6523.947835678969,7.458709992294506
17,C,Quito,12,1370.3875828812538,10681.08088804134,7.794204370696543
18,B,Quito,16,1323.6814958091554,7852.965653623606,5.932670116252667
19,C,Guaranda,15,1258.325105358218,7734.854700876573,6.146944591616191
20,B,Quito,6,1563.486577181208,7580.394962707669,4.8483914562120995
21,B,Santo Domingo,6,1126.5593451568895,5414.16746863571,4.805931877367463
22,C,Puyo,7,751.2469512195122,2383.683426494907,3.172969184933706
23,D,Ambato,9,1067.3634175691936,6913.348589519893,6.477033478685551
24,D,Guayaquil,1,2264.2580025608195,14090.441966925704,6.222984284913541
25,D,Salinas,1,939.819375,6754.660280681546,7.187189858350756
26,D,Guayaquil,10,635.6121467227902,4605.233934609826,7.245352308564847
27,D,Daule,1,1480.6925391095067,11365.010577898562,7.675469604738818
28,E,Guayaquil,10,1166.2839951865224,10867.62390050084,9.318162596206076
29,E,Guayaquil,10,1121.3888242142025,5707.176564463751,5.089382416899843
30,C,Guayaquil,3,707.6018292682927,4363.504130592571,6.1666094547900245
31,B,Babahoyo,10,1374.2068550811787,10500.177339360696,7.640900131254561
32,C,Guayaquil,3,635.4981949458484,3519.1975407756145,5.537698720097057
33,C,Quevedo,3,1040.1533373421528,8402.556082944278,8.078189802683202
34,B,Guayaquil,6,2304.733012627781,10139.275850889155,4.399327729214363
35,C,Playas,3,670.3865141481035,4549.072559426363,6.785745929282477
36,E,Libertad,10,1120.560546875,9060.341004525464,8.085543462861322
37,D,Cuenca,2,1479.8689116055323,11857.072608452607,8.01224521676632
38,D,Loja,4,1709.9549007817197,11189.589295098023,6.543792055558081
39,B,Cuenca,6,1424.355381840048,11990.128677917315,8.417933354826037
40,C,Machala,3,1300.2394705174488,10859.944387638108,8.352264820353621
41,D,Machala,4,1050.7154031287605,8869.403888304614,8.441299958003668
42,D,Cuenca,2,1115.3191489361702,5258.501423105273,4.714795247728879
43,E,Esmeraldas,10,1303.251056125528,9673.141113181307,7.422315959550313
44,A,Quito,5,4337.399518652226,36832.340865251645,8.491802681966607
45,A,Quito,11,3695.7701564380263,32299.8366112852,8.739676777523336
46,A,Quito,14,3572.430806257521,24846.959092001918,6.955196738444767
47,A,Quito,14,3897.875451263538,30200.603189925703,7.747965158849767
48,A,Quito,14,3045.8423586040913,21304.70934922918,6.994685489564575
49,A,Quito,11,2725.286401925391,25726.294006437987,9.439849693691857
50,A,Ambato,14,2613.031287605295,16984.892634919892,6.500072431388928
51,A,Guayaquil,17,1713.806257521059,19514.447290337925,11.386612229182
52,A,Manta,11,2325.970873786408,1409.5263734683642,0.6059948511624398
53,D,Manta,13,1009.9817708333334,6619.930624855063,6.5545050574457155
54,C,El Carmen,3,866.3118603251054,6527.106862137148,7.534361655498617
