feature,importance
lag_1,15.169110135948557
dayofweek,14.235981500511114
lag_7,10.164530297942909
day,8.61818847583434
is_weekend,8.047375941347815
lag_14,6.011891824026256
rolling_mean_7,5.642549895067439
dayofyear,3.663355171981492
ma_ratio_7_30,3.246156091785804
trans_lag7,3.0225166554355294
rolling_mean_30,2.600325008828133
promo_lag1,2.567159244943202
rolling_std_7,2.080242550668331
total_promo,1.920141734794538
is_national,1.8971774482149768
lag_30,1.6989414066955741
is_sunday,1.383830345436916
promo_lag7,1.2898901126827373
rolling_std_14,1.112722749753523
lag_365,1.0425763778139823
rolling_mean_14,0.9170347417936848
weekofyear,0.8918019199606613
quarter,0.7272626796482274
month,0.6319959313581691
is_holiday,0.5670185689711491
rolling_std_30,0.47357691131104007
year,0.3715486486586143
is_local,0.005097628585273307
